"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\public\js\jq.tablesort.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 0, 12, 16, 123
"c:\laragon\www\grado\public\js\jquery-file-upload.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\laragon\www\grado\public\js\js-grid.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 0, 0, 3, 12, 192
"c:\laragon\www\grado\public\js\just-gage.js", "JavaScript", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 18, 193
"c:\laragon\www\grado\public\js\light-gallery.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\laragon\www\grado\public\js\mapael.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\laragon\www\grado\public\js\mapael_example_1.js", "JavaScript", 0, 9073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9073
"c:\laragon\www\grado\public\js\mapael_example_2.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 3, 2, 173
"c:\laragon\www\grado\public\js\maps.js", "JavaScript", 0, 215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215
"c:\laragon\www\grado\public\js\modal-demo.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 12
"c:\laragon\www\grado\public\js\morris.js", "JavaScript", 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 2, 239
"c:\laragon\www\grado\public\js\no-ui-slider.js", "JavaScript", 0, 269, 0, 0, 0, 0, 0, 0, 0, 11, 14, 294
"c:\laragon\www\grado\public\js\off-canvas.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\laragon\www\grado\public\js\owl-carousel.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 9, 134
"c:\laragon\www\grado\public\js\paginate.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\laragon\www\grado\public\js\popover.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 8, 32
"c:\laragon\www\grado\public\js\profile-demo.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\laragon\www\grado\public\js\progress-bar.js", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 0, 0, 19, 25, 239
"c:\laragon\www\grado\public\js\select2.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\laragon\www\grado\public\js\settings.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 3, 7, 86
"c:\laragon\www\grado\public\js\sparkline.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"c:\laragon\www\grado\public\js\tablesorter.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\laragon\www\grado\public\js\tabs.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"c:\laragon\www\grado\public\js\template.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 19, 14, 113
"c:\laragon\www\grado\public\js\tight-grid.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\laragon\www\grado\public\js\toastDemo.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86
"c:\laragon\www\grado\public\js\todolist.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34
"c:\laragon\www\grado\public\js\tooltips.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 9, 33
"c:\laragon\www\grado\public\js\typeahead.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 6, 7, 60
"c:\laragon\www\grado\public\js\wizard.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\laragon\www\grado\public\js\x-editable.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 16, 162
"c:\laragon\www\grado\public\vendors\ace-builds\src-min\ace.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\laragon\www\grado\public\vendors\ace-builds\src-min\mode-javascript.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\grado\public\vendors\ace-builds\src-min\theme-chaos.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\laragon\www\grado\public\vendors\base\vendor.bundle.base.css", "CSS", 0, 0, 0, 0, 87, 0, 0, 0, 0, 18, 12, 117
"c:\laragon\www\grado\public\vendors\base\vendor.bundle.base.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 16, 2, 22
"c:\laragon\www\grado\public\vendors\bootstrap-datepicker\bootstrap-datepicker.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 1, 7
"c:\laragon\www\grado\public\vendors\bootstrap-datepicker\bootstrap-datepicker.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 1, 8
"c:\laragon\www\grado\public\vendors\bootstrap-maxlength\bootstrap-maxlength.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 1, 10
"c:\laragon\www\grado\public\vendors\c3\c3.js", "JavaScript", 0, 9042, 0, 0, 0, 0, 0, 0, 0, 190, 1953, 11185
"c:\laragon\www\grado\public\vendors\c3\c3.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\grado\public\vendors\chart.js\Chart.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 1, 8
"c:\laragon\www\grado\public\vendors\chartist\chartist.min.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\grado\public\vendors\chartist\chartist.min.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 1, 10
"c:\laragon\www\grado\public\vendors\clipboard\clipboard.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\laragon\www\grado\public\vendors\codemirror\ambiance.css", "CSS", 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 14, 75
"c:\laragon\www\grado\public\vendors\codemirror\codemirror.css", "CSS", 0, 0, 0, 0, 281, 0, 0, 0, 0, 23, 43, 347
"c:\laragon\www\grado\public\vendors\codemirror\codemirror.js", "JavaScript", 0, 7759, 0, 0, 0, 0, 0, 0, 0, 1016, 988, 9763
"c:\laragon\www\grado\public\vendors\codemirror\javascript.js", "JavaScript", 0, 856, 0, 0, 0, 0, 0, 0, 0, 22, 46, 924
"c:\laragon\www\grado\public\vendors\codemirror\shell.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 0, 0, 4, 17, 153
"c:\laragon\www\grado\public\vendors\colcade\colcade.js", "JavaScript", 0, 246, 0, 0, 0, 0, 0, 0, 0, 66, 55, 367
